"Wirtschaft";"Soll die staatliche Kontrolle über die Wirtschaft verstärkt werden, um die Krise zu bewältigen?"
"Wirtschaft";"Soll der Staat die Industrie stärker unterstützen, um Arbeitsplätze zu schaffen?"
"Wirtschaft";"Soll der Einfluss der Gewerkschaften auf die Wirtschaft und die Arbeitsbedingungen ausgeweitet werden?"
"Wirtschaft";"Sollen Unternehmen verpflichtet werden, Mindestlöhne zu zahlen?"
"Außenpolitik";"Soll Deutschland seine Reparationszahlungen an die Siegermächte des Ersten Weltkriegs vollständig einstellen?"
"Außenpolitik";"Soll der Versailler Vertrag grundlegend überarbeitet oder vollständig abgeschafft werden?"
"Militär";"Soll Deutschland seine militärische Stärke wieder ausbauen?"
"Politische Macht";"Soll die politische Macht des Reichspräsidenten durch Notverordnungen und Sonderrechte gestärkt werden?"
"Politische Macht";"Soll der Reichstag (Parlament) die alleinige Entscheidungsgewalt in der Politik haben?"
"Gesellschaft 1";"Sollen kommunistische Organisationen und Parteien verboten werden?"
"Gesellschaft 2";"Soll die Landwirtschaft stärker subventioniert werden, um die Versorgungssicherheit zu gewährleisten?"
"Gesellschaft 3";"Soll die Eigentumsverteilung durch Enteignungen reformiert werden?"
"Strafrecht";"Soll die Todesstrafe für schwerwiegende Verbrechen wieder eingeführt oder verstärkt angewendet werden?"
"Außenpolitik";"Soll Deutschland sich von internationalen Bündnissen wie dem Völkerbund zurückziehen?"
"Pressefreiheit";"Soll der Staat die freie Presse stärker kontrollieren, um „schädliche Einflüsse“ zu verhindern?"
"Bildung";"Soll das Schulsystem staatlich stärker zentralisiert und standardisiert werden?"
"Handwerk";"Soll der Schutz und die Förderung des „deutschen Handwerks“ im Vergleich zur Industrie priorisiert werden?"
"Infrastruktur";"Soll die Regierung Programme zur Arbeitsbeschaffung im Infrastrukturbereich verstärken?"
"Parteienverbot";"Sollen politische Organisationen oder Parteien, die gegen die Verfassung arbeiten, verboten werden?"
"Verfassung";"Soll die Weimarer Verfassung beibehalten oder durch eine neue Verfassung ersetzt werden?"
"Sozialpolitik";"Sollten Sozialprogramme für arme und arbeitslose Bürger*innen ausgebaut werden, auch wenn dies die Staatsverschuldung erhöht?"
"Ordnung";"Soll die öffentliche Ordnung durch verstärkte Polizeipräsenz gesichert werden?"
"Handel";"Soll der Außenhandel zugunsten der deutschen Wirtschaft eingeschränkt werden?"
"Kulturpolitik";"Soll der Staat den kulturellen Einfluss von Minderheiten in Deutschland begrenzen?"
